customer_id,name,age,occupation,dependents,monthly_income,monthly_expense,monthly_savings,savings_rate,existing_investment_value,equity_pct_current,debt_pct_current,sip_active,sip_amount,sip_missed_last_6m,txn_volatility,credit_card_utilization_pct,goal_horizon_years,risk_label
SAARTHI100042,Neha Verma,49,self_employed,3,116800.0,78700.0,38100.0,0.3262,540100.0,89.5,3.6,1,14700.0,1,0.321,48.0,14.5,conservative
SAARTHI100043,Priya Das,35,business_owner,4,59700.0,38200.0,21500.0,0.3601,1183700.0,71.6,18.1,0,0.0,0,0.156,38.2,3.5,conservative
SAARTHI100044,Rohit Kulkarni,24,business_owner,0,53600.0,24700.0,28900.0,0.5392,872100.0,83.8,13.5,0,0.0,0,0.381,16.1,21.4,aggressive
SAARTHI100045,Karan Menon,59,salaried,2,60500.0,33800.0,26700.0,0.4413,619600.0,33.6,52.9,1,7500.0,0,0.335,59.5,6.6,conservative
SAARTHI100046,Manish Das,39,salaried,1,70700.0,24200.0,46500.0,0.6577,3476700.0,78.5,15.2,1,20900.0,0,0.216,31.6,16.5,aggressive
SAARTHI100047,Ananya Gupta,56,salaried,2,104800.0,60300.0,44500.0,0.4246,3206600.0,49.5,40.4,1,21400.0,0,0.36,49.5,12.8,moderate
SAARTHI100048,Rahul Iyer,48,salaried,2,106800.0,59200.0,47600.0,0.4457,525400.0,64.7,28.3,1,17000.0,2,0.257,47.3,6.5,conservative
SAARTHI100049,Aditya Sharma,52,salaried,1,71000.0,40900.0,30100.0,0.4239,468500.0,54.2,34.8,1,6400.0,0,0.261,67.9,13.3,moderate
SAARTHI100050,Priya Joshi,51,business_owner,0,97600.0,49200.0,48400.0,0.4959,1644900.0,38.1,53.1,1,19800.0,0,0.329,52.8,11.8,moderate
SAARTHI100051,Priya Sharma,29,salaried,0,43800.0,18900.0,24900.0,0.5685,855500.0,59.4,38.8,1,6400.0,0,0.413,24.7,1.0,aggressive
SAARTHI100052,Karan Kulkarni,36,salaried,2,63500.0,40200.0,23300.0,0.3669,496200.0,54.7,31.4,0,0.0,0,0.34,73.2,9.3,moderate
SAARTHI100053,Sneha Patel,40,self_employed,1,65500.0,30700.0,34800.0,0.5313,5311900.0,9.6,80.5,1,11800.0,0,0.22,34.0,2.9,aggressive
SAARTHI100054,Manish Bhatt,41,salaried,1,58300.0,30200.0,28100.0,0.482,2366000.0,42.5,50.4,0,0.0,0,0.266,27.5,13.4,aggressive
SAARTHI100055,Kavya Iyer,23,salaried,0,43600.0,18400.0,25200.0,0.578,101700.0,62.4,27.5,0,0.0,0,0.36,22.3,10.2,aggressive
SAARTHI100056,Sneha Joshi,43,business_owner,0,85100.0,41800.0,43300.0,0.5088,1087200.0,50.5,45.6,1,21900.0,0,0.33,0.0,16.3,aggressive
SAARTHI100057,Rahul Kulkarni,28,salaried,0,40600.0,16900.0,23700.0,0.5837,980000.0,54.4,34.1,1,5200.0,0,0.369,29.9,6.8,aggressive
SAARTHI100058,Meera Patel,50,salaried,1,61200.0,39400.0,21800.0,0.3562,301400.0,30.0,63.8,0,0.0,0,0.352,56.6,2.6,conservative
SAARTHI100059,Ritu Desai,48,salaried,0,109900.0,69400.0,40500.0,0.3685,4105900.0,50.1,37.8,0,0.0,0,0.384,17.7,4.5,moderate
SAARTHI100060,Ritu Gupta,57,business_owner,1,209300.0,120100.0,89200.0,0.4262,7730600.0,43.1,52.8,1,17900.0,0,0.487,84.1,22.5,aggressive
SAARTHI100061,Kavya Verma,51,salaried,1,49400.0,31300.0,18100.0,0.3664,1322000.0,40.9,47.2,1,9000.0,0,0.193,0.0,28.6,aggressive
SAARTHI100062,Nikhil Desai,36,salaried,1,35400.0,12600.0,22800.0,0.6441,200500.0,31.4,55.0,1,5400.0,0,0.49,24.9,22.4,aggressive
SAARTHI100063,Kavya Reddy,59,salaried,0,59400.0,19100.0,40300.0,0.6785,749000.0,63.3,22.0,1,23100.0,1,0.353,8.7,1.8,aggressive
SAARTHI100064,Deepak Sharma,38,salaried,0,52700.0,22200.0,30500.0,0.5787,2736500.0,51.9,36.4,1,13900.0,1,0.519,63.6,2.7,moderate
SAARTHI100065,Sneha Patel,34,business_owner,4,88600.0,56100.0,32500.0,0.3668,2594800.0,49.9,39.5,1,10200.0,0,0.226,62.0,2.2,conservative
SAARTHI100066,Deepak Desai,57,salaried,3,83900.0,47600.0,36300.0,0.4327,1012500.0,86.0,6.2,0,0.0,0,0.34,40.5,13.8,conservative
SAARTHI100067,Anjali Kulkarni,36,business_owner,0,70000.0,21200.0,48800.0,0.6971,292600.0,54.5,43.9,1,17600.0,0,0.28,9.8,23.6,aggressive
SAARTHI100068,Aarav Verma,24,salaried,1,52700.0,31500.0,21200.0,0.4023,592200.0,69.0,22.6,1,6400.0,0,0.389,20.6,15.8,aggressive
SAARTHI100069,Anjali Nair,40,salaried,1,45600.0,31400.0,14200.0,0.3114,340700.0,50.5,41.1,1,5000.0,1,0.366,54.3,11.5,conservative
SAARTHI100070,Priya Das,53,business_owner,4,79800.0,59500.0,20300.0,0.2544,441800.0,37.9,61.1,1,9000.0,1,0.364,35.0,3.1,conservative
SAARTHI100071,Deepak Joshi,29,salaried,4,46100.0,33500.0,12600.0,0.2733,165100.0,23.8,65.8,0,0.0,0,0.399,37.2,6.9,conservative
SAARTHI100072,Karan Gupta,40,salaried,3,35900.0,21700.0,14200.0,0.3955,756100.0,49.8,48.0,1,6600.0,1,0.301,45.5,9.7,conservative
SAARTHI100073,Manish Verma,27,business_owner,0,35400.0,13200.0,22200.0,0.6271,478900.0,0.0,91.1,1,12600.0,0,0.23,33.4,16.3,aggressive
SAARTHI100074,Rohit Chatterjee,48,salaried,2,47600.0,26000.0,21600.0,0.4538,105600.0,50.4,42.5,1,12600.0,0,0.343,7.4,6.8,moderate
SAARTHI100075,Vikram Sharma,40,salaried,2,72800.0,53100.0,19700.0,0.2706,1175300.0,51.3,35.6,0,0.0,0,0.283,20.3,12.2,moderate
SAARTHI100076,Shreya Das,34,business_owner,3,69500.0,38500.0,31000.0,0.446,1280700.0,40.6,55.9,0,0.0,0,0.292,17.3,10.9,moderate
SAARTHI100077,Manish Chatterjee,30,salaried,4,60000.0,35300.0,24700.0,0.4117,373800.0,43.2,54.2,1,6000.0,0,0.179,30.8,9.2,moderate
SAARTHI100078,Neha Rao,44,salaried,1,37300.0,22200.0,15100.0,0.4048,805300.0,20.0,71.7,1,8800.0,0,0.314,48.9,8.0,moderate
SAARTHI100079,Ritu Das,48,salaried,2,44000.0,28400.0,15600.0,0.3545,1109000.0,72.7,20.4,0,0.0,0,0.233,49.0,10.5,conservative
SAARTHI100080,Priya Joshi,58,salaried,1,86500.0,36200.0,50300.0,0.5815,3707500.0,38.3,59.3,0,0.0,0,0.28,69.5,9.8,moderate
SAARTHI100081,Meera Menon,39,salaried,1,26800.0,12600.0,14200.0,0.5299,1244200.0,25.6,65.2,0,0.0,0,0.193,13.4,5.7,aggressive
SAARTHI100082,Kavya Kulkarni,28,self_employed,1,78800.0,35400.0,43400.0,0.5508,1934000.0,55.9,30.5,0,0.0,0,0.286,50.7,15.7,aggressive
SAARTHI100083,Manish Menon,54,salaried,3,46500.0,27500.0,19000.0,0.4086,195500.0,47.2,41.7,0,0.0,0,0.39,29.5,18.6,moderate
SAARTHI100084,Vikram Patel,46,self_employed,2,84300.0,53900.0,30400.0,0.3606,2105400.0,37.8,59.1,1,7600.0,1,0.262,91.2,10.8,conservative
SAARTHI100085,Arjun Menon,49,salaried,3,51200.0,26200.0,25000.0,0.4883,780800.0,35.7,60.7,1,9400.0,0,0.213,42.9,8.9,moderate
SAARTHI100086,Ananya Patel,25,salaried,3,67000.0,45800.0,21200.0,0.3164,689200.0,44.9,46.7,0,0.0,0,0.393,36.3,13.8,moderate
SAARTHI100087,Shreya Gupta,34,salaried,1,180800.0,91200.0,89600.0,0.4956,1696400.0,71.9,17.9,1,40700.0,0,0.378,51.1,11.5,moderate
SAARTHI100088,Meera Singh,51,self_employed,4,42600.0,35800.0,6800.0,0.1596,465500.0,54.4,30.9,1,3000.0,0,0.384,56.1,15.4,conservative
SAARTHI100089,Suresh Desai,54,salaried,0,83700.0,40100.0,43600.0,0.5209,1941100.0,44.3,54.1,1,26100.0,1,0.25,36.2,11.6,moderate
SAARTHI100090,Suresh Menon,38,salaried,4,32200.0,20000.0,12200.0,0.3789,440000.0,62.0,29.8,1,2600.0,1,0.256,60.5,12.1,conservative
SAARTHI100091,Karan Chatterjee,53,business_owner,0,95700.0,48000.0,47700.0,0.4984,1474600.0,45.6,39.6,0,0.0,0,0.265,78.3,21.4,moderate
SAARTHI100092,Ananya Rao,54,salaried,1,65400.0,30400.0,35000.0,0.5352,3276600.0,53.0,45.3,1,8800.0,0,0.284,64.5,18.0,aggressive
SAARTHI100093,Kavya Singh,37,salaried,4,56000.0,26200.0,29800.0,0.5321,318100.0,48.0,37.4,0,0.0,0,0.135,41.1,7.7,moderate
SAARTHI100094,Pooja Patel,57,business_owner,3,72700.0,41000.0,31700.0,0.436,2053800.0,56.8,36.3,1,9100.0,1,0.216,85.4,15.7,conservative
SAARTHI100095,Kavya Gupta,33,salaried,1,66900.0,31600.0,35300.0,0.5277,105400.0,36.1,53.1,1,15900.0,0,0.403,55.1,4.0,moderate
SAARTHI100096,Isha Sharma,31,salaried,4,29000.0,14100.0,14900.0,0.5138,2002600.0,22.2,71.4,1,4600.0,0,0.312,20.6,7.4,aggressive
SAARTHI100097,Suresh Kulkarni,48,salaried,0,93600.0,41500.0,52100.0,0.5566,595900.0,63.1,24.3,0,0.0,0,0.397,45.1,16.0,aggressive
SAARTHI100098,Sanjay Reddy,46,salaried,3,55000.0,21900.0,33100.0,0.6018,1005400.0,75.1,11.3,0,0.0,0,0.371,38.2,18.4,aggressive
SAARTHI100099,Manish Menon,27,salaried,2,25800.0,13100.0,12700.0,0.4922,883700.0,23.2,74.3,0,0.0,0,0.268,33.2,5.3,aggressive
SAARTHI100100,Arjun Singh,54,self_employed,1,116600.0,60300.0,56300.0,0.4828,5323800.0,48.6,40.2,0,0.0,0,0.271,52.3,10.2,moderate
SAARTHI100101,Ananya Verma,29,salaried,4,45200.0,28900.0,16300.0,0.3606,614400.0,36.0,63.7,0,0.0,0,0.403,6.4,8.6,moderate
SAARTHI100102,Isha Sharma,53,self_employed,3,128700.0,70500.0,58200.0,0.4522,537100.0,62.7,33.1,0,0.0,0,0.37,81.2,8.6,conservative
SAARTHI100103,Suresh Desai,22,business_owner,0,86900.0,38400.0,48500.0,0.5581,2062000.0,49.9,41.8,1,17800.0,0,0.375,57.3,3.7,aggressive
SAARTHI100104,Kavya Nair,53,salaried,0,55900.0,21200.0,34700.0,0.6208,1410600.0,100.0,0.0,0,0.0,0,0.276,2.1,14.0,aggressive
SAARTHI100105,Manish Nair,52,self_employed,0,68900.0,31100.0,37800.0,0.5486,437900.0,39.0,55.5,1,15500.0,0,0.301,57.2,3.3,moderate
SAARTHI100106,Manish Verma,52,self_employed,2,72900.0,39700.0,33200.0,0.4554,1744300.0,75.7,20.2,1,15900.0,0,0.279,55.6,16.6,moderate
SAARTHI100107,Aditya Sharma,47,business_owner,2,127800.0,58700.0,69100.0,0.5407,1821200.0,77.7,19.7,0,0.0,0,0.284,76.4,17.9,aggressive
SAARTHI100108,Ritu Chatterjee,40,salaried,3,65100.0,39700.0,25400.0,0.3902,2786900.0,55.7,40.7,1,8900.0,1,0.25,85.1,5.4,conservative
SAARTHI100109,Meera Bhatt,49,salaried,3,67700.0,41200.0,26500.0,0.3914,251400.0,45.7,52.3,1,9900.0,0,0.305,88.8,1.6,conservative
SAARTHI100110,Pooja Reddy,32,salaried,0,45700.0,19900.0,25800.0,0.5646,4435800.0,46.9,49.2,1,11700.0,0,0.271,37.6,10.8,aggressive
SAARTHI100111,Nikhil Singh,52,salaried,2,66200.0,50200.0,16000.0,0.2417,1231000.0,45.2,42.5,1,6400.0,2,0.292,62.1,6.7,conservative
SAARTHI100112,Sanjay Menon,43,salaried,3,91100.0,52100.0,39000.0,0.4281,2193300.0,67.7,28.0,1,20300.0,0,0.377,35.9,7.9,moderate
SAARTHI100113,Manish Iyer,39,salaried,4,55500.0,33600.0,21900.0,0.3946,662700.0,27.5,58.9,1,4900.0,1,0.184,68.6,9.1,conservative
SAARTHI100114,Aarav Nair,41,salaried,1,50700.0,23200.0,27500.0,0.5424,218600.0,41.8,54.5,1,15400.0,0,0.319,0.0,4.8,aggressive
SAARTHI100115,Ananya Singh,44,business_owner,0,63700.0,23100.0,40600.0,0.6374,1381300.0,39.4,53.2,1,23200.0,0,0.191,14.2,21.0,aggressive
SAARTHI100116,Rahul Rao,23,salaried,0,32200.0,16500.0,15700.0,0.4876,1028500.0,10.5,87.0,1,4700.0,1,0.221,35.7,7.2,aggressive
SAARTHI100117,Sanjay Desai,27,salaried,1,25900.0,11200.0,14700.0,0.5676,283200.0,62.2,37.5,1,3500.0,0,0.216,42.3,16.0,aggressive
SAARTHI100118,Aarav Singh,31,salaried,2,36700.0,17900.0,18800.0,0.5123,587200.0,66.3,24.3,1,8100.0,0,0.336,48.4,4.5,moderate
SAARTHI100119,Neha Reddy,26,salaried,1,82400.0,36800.0,45600.0,0.5534,204700.0,32.3,62.6,1,10300.0,0,0.084,72.0,10.8,aggressive
SAARTHI100120,Suresh Rao,39,salaried,0,51900.0,18800.0,33100.0,0.6378,1215700.0,65.6,29.2,1,9700.0,0,0.29,27.9,13.7,aggressive
SAARTHI100121,Meera Verma,48,salaried,1,78500.0,26500.0,52000.0,0.6624,1851400.0,13.3,80.6,1,21000.0,0,0.275,13.3,11.2,aggressive
SAARTHI100122,Divya Sharma,47,salaried,1,35700.0,16200.0,19500.0,0.5462,1172400.0,45.5,42.8,0,0.0,0,0.201,35.5,8.9,aggressive
SAARTHI100123,Kavya Patel,40,salaried,2,68000.0,42100.0,25900.0,0.3809,350000.0,42.5,51.5,0,0.0,0,0.329,34.0,6.8,moderate
SAARTHI100124,Rohit Verma,55,salaried,0,67000.0,31300.0,35700.0,0.5328,114100.0,46.8,51.9,1,20500.0,0,0.181,56.5,8.6,moderate
SAARTHI100125,Anjali Singh,44,salaried,3,52100.0,37800.0,14300.0,0.2745,663400.0,46.7,49.1,1,3900.0,1,0.325,83.1,5.1,conservative
SAARTHI100126,Rohit Nair,25,salaried,2,46200.0,28100.0,18100.0,0.3918,872900.0,43.5,47.9,0,0.0,0,0.199,78.7,11.8,moderate
SAARTHI100127,Nikhil Bhatt,51,salaried,1,58200.0,31600.0,26600.0,0.457,3767600.0,37.2,47.9,1,7000.0,1,0.486,69.8,21.4,moderate
SAARTHI100128,Karan Iyer,44,salaried,4,35200.0,28100.0,7100.0,0.2017,852900.0,42.8,55.1,1,4100.0,3,0.417,38.4,10.8,conservative
SAARTHI100129,Meera Chatterjee,46,salaried,3,82400.0,47500.0,34900.0,0.4235,1834600.0,72.3,22.8,1,19200.0,1,0.329,43.0,12.8,conservative
SAARTHI100130,Priya Rao,44,salaried,0,64600.0,29400.0,35200.0,0.5449,933200.0,33.4,59.3,1,7500.0,1,0.202,53.4,17.5,aggressive
SAARTHI100131,Rahul Desai,43,self_employed,0,56400.0,25300.0,31100.0,0.5514,202100.0,90.1,0.0,0,0.0,0,0.262,27.0,8.3,aggressive
SAARTHI100132,Karan Menon,25,business_owner,0,35900.0,21100.0,14800.0,0.4123,657600.0,32.3,66.1,0,0.0,0,0.287,31.9,1.0,moderate
SAARTHI100133,Sanjay Joshi,43,business_owner,2,49500.0,26700.0,22800.0,0.4606,747900.0,49.8,38.3,0,0.0,0,0.323,54.0,9.8,moderate
SAARTHI100134,Ananya Nair,53,salaried,1,72300.0,31600.0,40700.0,0.5629,200400.0,56.4,32.8,1,9400.0,0,0.321,13.7,15.5,aggressive
SAARTHI100135,Aarav Verma,33,salaried,1,92900.0,50900.0,42000.0,0.4521,1374800.0,39.2,56.2,0,0.0,0,0.322,70.0,22.5,aggressive
SAARTHI100136,Meera Patel,45,salaried,2,64700.0,30200.0,34500.0,0.5332,4332100.0,72.6,15.8,1,12800.0,0,0.321,35.5,3.9,moderate
SAARTHI100137,Ritu Rao,23,self_employed,2,23600.0,13900.0,9700.0,0.411,483400.0,55.9,35.5,1,4100.0,1,0.293,58.7,16.4,moderate
SAARTHI100138,Deepak Reddy,35,self_employed,0,58900.0,28700.0,30200.0,0.5127,160100.0,40.9,56.5,0,0.0,0,0.324,49.3,12.6,aggressive
SAARTHI100139,Divya Iyer,39,self_employed,0,57200.0,24800.0,32400.0,0.5664,2816100.0,72.4,23.3,1,18200.0,0,0.228,71.3,8.7,aggressive
SAARTHI100140,Karan Verma,60,business_owner,3,116800.0,74300.0,42500.0,0.3639,222300.0,24.7,70.4,1,25200.0,0,0.22,0.9,2.9,conservative
SAARTHI100141,Anjali Das,30,salaried,4,59900.0,29700.0,30200.0,0.5042,3768400.0,33.7,61.5,1,8900.0,1,0.461,72.6,5.1,moderate
SAARTHI100142,Ananya Nair,32,self_employed,4,20400.0,13200.0,7200.0,0.3529,388300.0,56.3,32.5,1,3300.0,1,0.354,75.2,12.0,conservative
SAARTHI100143,Manish Joshi,37,self_employed,4,68000.0,40000.0,28000.0,0.4118,6781200.0,61.0,29.1,0,0.0,0,0.471,53.0,15.9,aggressive
SAARTHI100144,Ritu Rao,60,salaried,2,59800.0,47700.0,12100.0,0.2023,2454800.0,51.5,36.2,0,0.0,0,0.315,62.4,1.0,conservative
SAARTHI100145,Shreya Desai,55,business_owner,4,63600.0,41000.0,22600.0,0.3553,56900.0,42.5,49.8,1,8900.0,1,0.534,61.0,11.7,conservative
SAARTHI100146,Isha Desai,23,salaried,4,37800.0,21800.0,16000.0,0.4233,1440400.0,40.0,54.7,0,0.0,0,0.314,26.7,5.2,moderate
SAARTHI100147,Sanjay Sharma,31,business_owner,4,70500.0,35700.0,34800.0,0.4936,578900.0,67.6,31.4,1,12000.0,0,0.399,46.3,5.7,moderate
SAARTHI100148,Ritu Gupta,54,self_employed,0,50400.0,28600.0,21800.0,0.4325,967700.0,49.8,38.3,0,0.0,0,0.308,65.9,13.5,moderate
SAARTHI100149,Suresh Gupta,24,salaried,0,56900.0,23800.0,33100.0,0.5817,1708800.0,27.6,71.3,1,12900.0,0,0.298,4.0,22.5,aggressive
SAARTHI100150,Meera Bhatt,55,self_employed,2,90600.0,42500.0,48100.0,0.5309,659200.0,26.4,69.1,1,11100.0,0,0.28,54.7,5.5,moderate
SAARTHI100151,Manish Iyer,32,salaried,2,50000.0,28500.0,21500.0,0.43,1577000.0,75.3,14.7,1,11200.0,0,0.261,48.3,9.2,moderate
SAARTHI100152,Shreya Patel,57,self_employed,4,61600.0,42400.0,19200.0,0.3117,404700.0,30.6,57.9,0,0.0,0,0.411,62.6,1.0,conservative
SAARTHI100153,Aditya Sharma,33,self_employed,1,37500.0,20700.0,16800.0,0.448,692700.0,50.5,48.5,1,6600.0,0,0.302,18.1,13.0,aggressive
SAARTHI100154,Aarav Singh,38,salaried,4,78100.0,49300.0,28800.0,0.3688,4844500.0,72.0,18.9,1,11800.0,0,0.389,31.3,4.5,moderate
SAARTHI100155,Rahul Sharma,47,business_owner,4,53500.0,34500.0,19000.0,0.3551,513000.0,55.8,42.1,1,7500.0,0,0.398,17.2,18.1,moderate
SAARTHI100156,Rohit Chatterjee,26,salaried,4,68400.0,44500.0,23900.0,0.3494,593400.0,29.8,58.8,1,9800.0,2,0.445,17.1,10.8,moderate
SAARTHI100157,Nikhil Das,43,salaried,0,56200.0,27000.0,29200.0,0.5196,2084000.0,24.7,64.4,1,7000.0,0,0.33,62.9,9.3,moderate
SAARTHI100158,Divya Desai,41,salaried,1,55500.0,29600.0,25900.0,0.4667,356400.0,82.4,6.4,1,9700.0,0,0.164,32.7,8.7,moderate
SAARTHI100159,Meera Desai,52,salaried,1,45600.0,27100.0,18500.0,0.4057,300500.0,24.2,74.8,1,7000.0,3,0.28,32.3,12.6,conservative
SAARTHI100160,Kavya Joshi,60,salaried,3,71800.0,42400.0,29400.0,0.4095,168900.0,33.9,57.7,1,17600.0,1,0.306,70.8,13.3,conservative
SAARTHI100161,Pooja Reddy,47,salaried,3,75400.0,38600.0,36800.0,0.4881,1660000.0,52.5,43.9,1,8100.0,0,0.298,37.7,2.2,conservative
SAARTHI100162,Rohit Verma,37,salaried,2,35500.0,18700.0,16800.0,0.4732,725300.0,40.6,52.0,1,5500.0,1,0.418,66.7,8.9,conservative
